source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,942,1,92.626099999999994,0.037310000000000003,82.257999999999996,85.713999999999999,89.17,92.626000000000005,96.081999999999994,99.537999999999997,102.994
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,943,1,92.649799999999999,0.037319999999999999,82.277000000000001,85.733999999999995,89.191999999999993,92.65,96.106999999999999,99.564999999999998,103.023
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,944,1,92.673500000000004,0.037330000000000002,82.295000000000002,85.754000000000005,89.213999999999999,92.674000000000007,96.132999999999996,99.593000000000004,103.05200000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,945,1,92.697100000000006,0.037339999999999998,82.313000000000002,85.774000000000001,89.236000000000004,92.697000000000003,96.158000000000001,99.62,103.081
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,946,1,92.720799999999997,0.037350000000000001,82.331000000000003,85.795000000000002,89.257999999999996,92.721000000000004,96.183999999999997,99.647000000000006,103.11
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,947,1,92.744399999999999,0.037359999999999997,82.35,85.814999999999998,89.278999999999996,92.744,96.209000000000003,99.674000000000007,103.139
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,948,1,92.768000000000001,0.03737,82.367999999999995,85.834999999999994,89.301000000000002,92.768000000000001,96.234999999999999,99.700999999999993,103.16800000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,949,1,92.791600000000003,0.037379999999999997,82.385999999999996,85.853999999999999,89.322999999999993,92.792000000000002,96.26,99.728999999999999,103.197
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,950,1,92.815200000000004,0.03739,82.403999999999996,85.873999999999995,89.344999999999999,92.814999999999998,96.286000000000001,99.756,103.226
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,951,1,92.838800000000006,0.037400000000000003,82.421999999999997,85.894000000000005,89.367000000000004,92.838999999999999,96.311000000000007,99.783000000000001,103.255
